,OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT,yr
1,1995211,T20180004307,2018-03-06T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,64500,327784,A,M,26,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,N,Non Intersection,5377,Declared Road,,,1,2018
2,1995212,T20180007799,2018-04-25T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,101500,329659,A,M,51,4,Motorcyclists,1,Collision with vehicle,2,COLAC OTWAY,Country,N,Non Intersection,5074,Declared Road,,,1,2018
4,1995214,T20170017890,2017-09-17T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,133000,321592,A,M,29,4,Motorcyclists,4,Collision with a fixed object,2,MANNINGHAM,Melbourne - Inner East,N,Non Intersection,5931,Declared Road,,,1,2017
7,1995217,T20170022514,2017-11-25T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,20000,324066,A,F,18,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,9999,Non Declared Road,,,3,2017
8,1995218,T20180023382,2018-12-12T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,205800,340168,A,F,74,2,Drivers,4,Collision with a fixed object,1,BOROONDARA,Melbourne - Inner East,N,Non Intersection,9999,Non Declared Road,,,1,2018
11,1995221,T20160005706,2016-03-14T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,104000,54051,B,M,69,4,Motorcyclists,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,2510,Declared Road,,,1,2016
13,1995223,T20180015880,2018-08-22T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,170000,337064,A,M,38,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2018
14,1995224,T20180010944,2018-06-10T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,190000,337048,A,M,52,2,Drivers,4,Collision with a fixed object,1,NORTHERN GRAMPIANS,Country,N,Non Intersection,5135,Declared Road,,,1,2018
18,1995228,T20160019890,2016-09-11T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,114500,308200,A,M,28,2,Drivers,1,Collision with vehicle,2,HORSHAM,Country,N,Non Intersection,2110,Declared Road,,,1,2016
20,1995230,T20160023476,2016-10-30T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,123500,309976,A,M,32,2,Drivers,4,Collision with a fixed object,1,HORSHAM,Country,N,Non Intersection,5273,Declared Road,,,1,2016
