,Unnamed: 0,X,Y,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Surface Cond Desc,Atmosph Cond Desc,no_male_driver,no_female_driver,avg_age_male,avg_age_female,year
0,0,142.05313116905253,-34.16963182837585,T20140001436,2014-01-22,23,Yes,Collision with a fixed object,Wednesday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,50,Yes,Non-Intersection,MILDURA,WESTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,0,1,,32.0,2014
1,1,144.89257335315475,-37.737040327235924,T20140005676,2014-03-19,15,No,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,0,1,,48.0,2014
2,2,143.9115263128171,-37.47917013496552,T20140004872,2014-03-08,11,No,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,BALLARAT,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,33.0,,2014
3,3,145.09381090950467,-37.860511851119256,T20140005291,2014-03-14,6,No,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dusk/Dawn,T intersection,Fatal accident,60,No,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,3,1,1,0,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Metro,Dry,Clear,1,0,52.0,,2014
4,4,144.77327122031153,-36.55345015563163,T20140004905,2014-03-08,21,Yes,Collision with vehicle,Saturday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,CAMPASPE,NORTHERN REGION,7,7,4,3,0,0,6,0,0,5,2,0,0,0,0,0,0,0,0,1,Yes,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,36.0,,2014
5,5,144.77327122031153,-36.55345015563163,T20140004905,2014-03-08,21,Yes,Collision with vehicle,Saturday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,CAMPASPE,NORTHERN REGION,7,7,4,3,0,0,6,0,0,5,2,0,0,0,0,0,0,0,0,1,Yes,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,36.0,,2014
6,6,144.77327122031153,-36.55345015563163,T20140004905,2014-03-08,21,Yes,Collision with vehicle,Saturday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,CAMPASPE,NORTHERN REGION,7,7,4,3,0,0,6,0,0,5,2,0,0,0,0,0,0,0,0,1,Yes,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,36.0,,2014
7,7,144.77327122031153,-36.55345015563163,T20140004905,2014-03-08,21,Yes,Collision with vehicle,Saturday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,CAMPASPE,NORTHERN REGION,7,7,4,3,0,0,6,0,0,5,2,0,0,0,0,0,0,0,0,1,Yes,0,2,0,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,2,0,36.0,,2014
8,8,143.52717901476106,-36.83708464499127,T20140004937,2014-03-09,15,No,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,CENTRAL GOLDFIELDS,WESTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,0,1,,84.0,2014
9,9,144.88900397777917,-37.635863377919954,T20140004945,2014-03-09,23,Yes,Collision with vehicle,Sunday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,T intersection,Fatal accident,70,No,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Dry,Clear,1,1,38.0,49.0,2014
